//Dahr ek 2001
//A ist cave B ist schwarz

BBBAAAAB 053b 053c 053d 000 000
BBBAAAAA 053b 053c 053d 000 000
BBBBAAAA 053b 053c 053d 000 000
AAABBBBA 053b 053c 053d 000 000
AAAABBBB 053b 053c 053d 000 000
BAAAABBB 053b 053c 053d 000 000
BBAAAABB 053b 053c 053d 000 000
BBAAAAAA 053b 053c 053d 000 000
ABBBBAAA 053b 053c 053d 000 000
AABBBBAA 053b 053c 053d 000 000

ABBBAAAA 053b 053c 053d 000 000
BBAAAAAB 053b 053c 053d 000 000
ABBAAAAA 053b 053c 053d 000 000
AAABBBAA 053b 053c 053d 000 000
BBBBBAAA 053b 053c 053d 000 000
BAAABBBB 053b 053c 053d 000 000
AAAAABBB 053b 053c 053d 000 000
AABBBBBA 053b 053c 053d 000 000
BBBAAABB 053b 053c 053d 000 000
BAAAAAAA 053b 053c 053d 000 000
BAAAAABB 053b 053c 053d 000 000
AABAAAAA 053b 053c 053d 000 000
AAAAAABA 053b 053c 053d 000 000
BBBBAAAB 053b 053c 053d 000 000
AAAABAAA 053b 053c 053d 000 000
AAAABBBA 053b 053c 053d 000 000
AABBAAAA 053b 053c 053d 000 000
BAAAAAAB 053b 053c 053d 000 000
AAAABBAA 053b 053c 053d 000 000
AABBBAAA 053b 053c 053d 000 000
AAAAAABB 053b 053c 053d 000 000
AAAAABBA 053b 053c 053d 000 000
AAABBAAA 053b 053c 053d 000 000
